epoch,train_loss,train_policy,train_value,train_teacher_policy,train_teacher_value,val_loss,val_policy,val_value,val_teacher_policy,val_teacher_value
1,1.90038543953953,3.0842601497808455,0.09271093998528229,0.5465291413118243,0.07727065091551227,1.7775307284348039,3.0026901361145866,0.0809800360180843,0.4345229143076035,0.03686839642486234
2,1.7736967096367036,3.0201399023114757,0.057023842234807796,0.43000562198988723,0.040224057273911824,1.710386287186418,2.971295255225394,0.061056184865685384,0.36659864227316297,0.021822483142641083
3,1.7197086086234894,2.988310335215475,0.04319308174242935,0.3815084250895693,0.026405364905834356,1.6744564096090506,2.9542505919233584,0.05008875361962786,0.3269220985623281,0.017651394661615347
4,1.6791229060376025,2.959013437235371,0.03594476915646589,0.34389009732638337,0.019397511700519836,1.6460799097124261,2.9335182715632744,0.04864540554209351,0.2946187873851019,0.015377352725845646
5,1.644243142403752,2.929953674012558,0.03280824072250082,0.309262570623094,0.01646179443068174,1.6184434061243795,2.916744512580375,0.043577053702437384,0.2637767371589372,0.012788513100834259
6,1.610957459337421,2.9009553740780993,0.030391856930760974,0.2764069685495522,0.01416072302175015,1.5951762128156175,2.9012914513065824,0.04166663177072875,0.23636855670075024,0.011025812463952166
7,1.5803284015361883,2.873030861633689,0.028518652383342804,0.24658276759875986,0.012524522801080702,1.5770494741971108,2.8892290085840378,0.04223208127219306,0.21165686179441476,0.010980969470833192
8,1.5528747471780024,2.8467134971056915,0.02753029399597581,0.21969342165124145,0.011812278981179676,1.5605906835869512,2.879394076040995,0.04258015241151877,0.18734382730665175,0.011863298917918793
9,1.526991072939422,2.8216607817045976,0.02604830666349196,0.19567577064516076,0.01059728836169444,1.546409245107319,2.8709338049751207,0.04206496197233332,0.1693162909980263,0.01050342751911413
10,1.5031016878015704,2.798179928461711,0.024622867235457563,0.17403696263969504,0.009363610733554784,1.533346252482118,2.864098413522368,0.04241486261086886,0.14937928417576288,0.010799955782404004
11,1.481599628590197,2.7759437033769436,0.02385948213238713,0.15460183487599155,0.008794230444374253,1.5229801391206659,2.856152130165629,0.04405138068091971,0.1343084756789874,0.011448288452687297
12,1.4627983559247162,2.7554342264152436,0.02368757186415125,0.1377047010853268,0.008770209935355378,1.5129142919497658,2.85005970596631,0.043734212935750104,0.1202303803224701,0.011804294597512567
13,1.4459712537257388,2.735718785136579,0.023387318149887256,0.1240395750725764,0.00879682111023979,1.507978128903449,2.8549405439431794,0.044905024945433775,0.10391177721281825,0.012198918827053004
14,1.4305750480138633,2.7201615361005587,0.022532076386353336,0.11060463454589307,0.00785184948688929,1.5010958313305833,2.843434940152896,0.04536318715578273,0.10171941629627852,0.011674136560501704
15,1.4164722359004909,2.703427741869067,0.0217647115374545,0.10047172371402802,0.007280288627209115,1.4979590994316843,2.8431967007057897,0.0471255940920897,0.09212771760202396,0.01346818358799405
16,1.404288072503076,2.6886465704584697,0.021194030429265265,0.09178260968152778,0.006952924754625184,1.49232284821721,2.8413539886983505,0.0446265085541674,0.08660393360139466,0.012061252988270597
17,1.3941825301771662,2.675064661033661,0.0214590881897543,0.08447142290263131,0.007369889562932084,1.4886332095114627,2.8407749496122054,0.043972845689225604,0.08158725605862117,0.010931357149961091
18,1.3840064806153018,2.661928333336091,0.02113510142149057,0.07778464813867567,0.00716487573661718,1.4844585696559325,2.83650821377399,0.04292967854705793,0.077993344129913,0.011485903500007782
19,1.374540697076075,2.6503343860467914,0.020095352114114656,0.07235634751428402,0.0062953139293734405,1.4831175516610975,2.83752164896677,0.04524251669168218,0.07124202274652784,0.012228935381463205
20,1.366828505836497,2.6389878115341205,0.020152276936404836,0.06796861990308825,0.0065482967743872,1.4814344421903758,2.838032696264912,0.04451099413038572,0.06916260010023127,0.011162606112682832
