epoch,train_loss,train_policy,train_value,train_teacher_policy,train_teacher_value,val_loss,val_policy,val_value,val_teacher_policy,val_teacher_value
1,3.1825515655788235,3.0883709694965775,0.09418059784265727,0.0,0.0,3.085520971037662,3.000667231060016,0.08485373315921206,0.0,0.0
2,3.090522380813537,3.0296984800851967,0.060823902021968856,0.0,0.0,3.039498030948537,2.9775614132876074,0.06193662573172926,0.0,0.0
3,3.053134120867115,3.0058392298748218,0.0472948925402589,0.0,0.0,3.015120545217296,2.9620548116486507,0.05306574319396864,0.0,0.0
4,3.0261981498125885,2.986719211517089,0.039478942258171286,0.0,0.0,2.996589721457808,2.9493036242152226,0.047286078882510026,0.0,0.0
5,3.003400255366661,2.968288779673647,0.035111472486372454,0.0,0.0,2.9846489930738125,2.9381298642275553,0.04651913986309743,0.0,0.0
6,2.982115711010444,2.949575239268332,0.03254047367906315,0.0,0.0,2.9712813371273596,2.9284901873406377,0.04279115036320788,0.0,0.0
7,2.9609911743097674,2.9307373627760964,0.030253807362543052,0.0,0.0,2.9564775761570723,2.9159182843174727,0.040559309400546514,0.0,0.0
8,2.9400353995352546,2.911279267703035,0.028756132225195567,0.0,0.0,2.949943246810897,2.905158289468657,0.04478496248687726,0.0,0.0
9,2.918993430220618,2.8921619966167365,0.026831432406502556,0.0,0.0,2.942980356633727,2.8971711894618535,0.045809171421964244,0.0,0.0
10,2.899806318895884,2.8733052865249245,0.02650103742029852,0.0,0.0,2.9286472771948913,2.887011062628177,0.04163620762701922,0.0,0.0
11,2.8790630618890765,2.8539662912667514,0.025096766703040247,0.0,0.0,2.924428111333857,2.8811428803898864,0.043285243821468526,0.0,0.0
12,2.8593204559571292,2.834807050339828,0.024513406313487005,0.0,0.0,2.9169949218074183,2.8716322838814814,0.0453626391425204,0.0,0.0
13,2.839724054234414,2.8159309665521626,0.023793089758091104,0.0,0.0,2.9087658185460143,2.864010463274912,0.044755359083859365,0.0,0.0
14,2.820530252188564,2.7973174148135715,0.02321283123848668,0.0,0.0,2.9034069518269443,2.8580157336964804,0.045391229107546574,0.0,0.0
15,2.802337281994392,2.7793129592854653,0.02302432363551145,0.0,0.0,2.900061142482778,2.8535672435129467,0.046493888000700236,0.0,0.0
16,2.783743593108702,2.761320919716055,0.022422669991511737,0.0,0.0,2.8959364697671113,2.848316678878719,0.0476198126994304,0.0,0.0
17,2.7667609333513252,2.7444338363177647,0.022327091496991344,0.0,0.0,2.8902856074631407,2.8454251363157845,0.044860473892620684,0.0,0.0
18,2.7502734777279487,2.7290919316660767,0.0211815503686467,0.0,0.0,2.8888376955034385,2.842439307219954,0.04639840365378554,0.0,0.0
19,2.7344204303889548,2.713204480302701,0.021215947078094585,0.0,0.0,2.88527184387663,2.8379412282620065,0.04733062128207409,0.0,0.0
20,2.7194240227920146,2.6980632123857777,0.021360820791667883,0.0,0.0,2.8873303804224557,2.838381696281718,0.04894868503926022,0.0,0.0
