epoch,train_loss,train_policy,train_value,train_teacher_policy,train_teacher_value,val_loss,val_policy,val_value,val_teacher_policy,val_teacher_value
1,3.1438805696316354,3.0618886265250413,0.08199194565495174,0.0,0.0,3.0494585111021615,2.9791505603932773,0.07030796532776593,0.0,0.0
2,3.0466418367791848,2.9977792100893605,0.048862620602689755,0.0,0.0,3.0053148943942793,2.944494562698657,0.060820318965227396,0.0,0.0
3,2.9897433333288395,2.9547579898093757,0.03498534309806195,0.0,0.0,2.9631047309908056,2.9185234294248112,0.04458131429241332,0.0,0.0
4,2.9392646497831127,2.908862727649081,0.030401923514433812,0.0,0.0,2.934800089232568,2.8896100096158057,0.04519007620158165,0.0,0.0
5,2.885872999380232,2.8592095834024778,0.02666341506363637,0.0,0.0,2.911489395601645,2.86275030760017,0.04873910027465673,0.0,0.0
6,2.8348538883878205,2.8102047918950377,0.024649103615717236,0.0,0.0,2.8995913734049275,2.8500287298713447,0.049562643871522385,0.0,0.0
7,2.785139727369051,2.76266355437926,0.02247618369189611,0.0,0.0,2.8796616099305696,2.831487746986788,0.048173854491308635,0.0,0.0
8,2.7384095891572064,2.7172956784566242,0.02111391324195836,0.0,0.0,2.87746733865972,2.834440749635564,0.043026585831617975,0.0,0.0
9,2.6953095175016677,2.6752147843719647,0.020094741276469097,0.0,0.0,2.8619377786092848,2.816727294484223,0.04521048006978335,0.0,0.0
10,2.6552638262629986,2.63618563163073,0.019078195006293625,0.0,0.0,2.866264310946714,2.8197718473228854,0.046492466744802806,0.0,0.0
11,2.615506487326769,2.5972801904282576,0.01822630650746615,0.0,0.0,2.8723893068897812,2.8171652877343503,0.05522402598181682,0.0,0.0
12,2.58133825228077,2.5639255948813564,0.017412664747262097,0.0,0.0,2.871138101199139,2.8234798834443473,0.047658229018129175,0.0,0.0
13,2.5480278360476616,2.5313775693875558,0.016650267452041467,0.0,0.0,2.869373836283241,2.8232576941222494,0.046116135491648634,0.0,0.0
