epoch,train_loss,train_policy,train_value,train_teacher_policy,train_teacher_value,val_loss,val_policy,val_value,val_teacher_policy,val_teacher_value
1,3.1784488588611444,3.0866401947486195,0.09180865662504073,0.0,0.0,3.0854996446611533,3.0033089549717045,0.08219069859913472,0.0,0.0
2,3.092890301606103,3.0343959150224964,0.05849439008049218,0.0,0.0,3.0419975841058102,2.983260157014161,0.05873741671888271,0.0,0.0
3,3.054460958496155,3.0106925281974046,0.043768423799689676,0.0,0.0,3.016631369402467,2.9667550520047055,0.04987631226505134,0.0,0.0
4,3.027829366579273,2.990582007353245,0.03724735466740935,0.0,0.0,3.0007812002298038,2.953263417633773,0.047517762112897384,0.0,0.0
5,3.0053465525309244,2.9721903719895657,0.03315618636916919,0.0,0.0,2.984405819863367,2.9395244561748037,0.044881365211280964,0.0,0.0
6,2.985960995879678,2.9548936998349435,0.031067293417581434,0.0,0.0,2.9738568066278415,2.931236339353319,0.04262046107034355,0.0,0.0
7,2.9660833019808113,2.9367931955789466,0.029290107152907245,0.0,0.0,2.9633650703389462,2.9189447186163675,0.04442035191739127,0.0,0.0
8,2.9463888271107095,2.9185679387854764,0.02782089016593524,0.0,0.0,2.9532663160607044,2.9092009810526065,0.04406536358389745,0.0,0.0
9,2.926248397022845,2.8999648936142726,0.026283508780570713,0.0,0.0,2.9486998516823717,2.9004119702057243,0.048287899854613854,0.0,0.0
10,2.906715838242088,2.8809943067022115,0.025721527426098404,0.0,0.0,2.934861441177645,2.889075610273803,0.045785803127171135,0.0,0.0
11,2.8873559841988397,2.862258151448874,0.025097830491851134,0.0,0.0,2.933105701570704,2.8819835697446843,0.05112212203172699,0.0,0.0
12,2.867191589756344,2.8434372144849744,0.023754377245723483,0.0,0.0,2.9239564420319417,2.873568695917201,0.05038775242030175,0.0,0.0
13,2.8480453465677487,2.8248835422587364,0.023161804603245684,0.0,0.0,2.913867639248501,2.8684751916211595,0.04539246023249919,0.0,0.0
14,2.8296782061437686,2.8073212478693867,0.02235694873125518,0.0,0.0,2.9099617706673375,2.8633515554914606,0.046610209578002146,0.0,0.0
15,2.812152090481167,2.790412350415864,0.02173973712995349,0.0,0.0,2.904899735842596,2.858511554775014,0.04638817352754648,0.0,0.0
16,2.7951284998392008,2.773718307040622,0.02141019158573993,0.0,0.0,2.9017747092272455,2.8534649996009427,0.048309697033072106,0.0,0.0
17,2.7797618766386347,2.75821575620567,0.02154612111718141,0.0,0.0,2.902567038032263,2.8558945632922357,0.04667246194602077,0.0,0.0
18,2.7631358845645644,2.7424285070963172,0.020707378143985745,0.0,0.0,2.8988186740569906,2.8517615405828747,0.04705711351975942,0.0,0.0
19,2.7487328927679715,2.7275636628928432,0.021169236244526574,0.0,0.0,2.8983801429019795,2.8472705085860244,0.051109632077600047,0.0,0.0
20,2.7335887706582964,2.713449896770309,0.020138883168797896,0.0,0.0,2.894528157428591,2.846880999802271,0.04764715874549737,0.0,0.0
