seed,alpha,temperature,val_top1,val_top3,val_policy_ce,best_val_objective,best_epoch,epochs_completed,train_seconds,checkpoint
27,0.5,4.0,0.24279615795090714,0.4539754535752401,2.8346794442916754,1.4677222789033628,20,20,95.97167020800407,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_a0p50_t4p0.pt
27,0.75,1.0,0.2389274279615795,0.4597118463180363,2.8449015141551244,0.752611609635002,20,20,111.16073681900161,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_a0p75_t1p0.pt
27,0.75,2.0,0.2418623265741729,0.4610458911419424,2.8420736736269108,0.7513652355464825,20,20,102.5472466200008,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_a0p75_t2p0.pt
27,0.75,4.0,0.24119530416221985,0.4586446104589114,2.838209947119909,0.7497822763825684,20,20,98.43489108397625,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_a0p75_t4p0.pt
37,0.25,1.0,0.22305229455709713,0.45917822838847383,2.832274706920921,2.186131395423425,20,20,95.446214273019,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p25_t1p0.pt
37,0.25,2.0,0.24106189967982924,0.4589114194236926,2.832137482652288,2.186219922760889,20,20,92.84636599299847,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p25_t2p0.pt
37,0.25,4.0,0.24079509071504804,0.45731056563500533,2.829592787468828,2.1828442899750797,20,20,93.78093668198562,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p25_t4p0.pt
37,0.5,1.0,0.2498665955176094,0.4605122732123799,2.8373800494500387,1.4854264230076761,20,20,89.57854432499153,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p50_t1p0.pt
37,0.5,2.0,0.24653148345784417,0.4615795090715048,2.834207173472662,1.4828442810948146,20,20,86.59960089297965,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p50_t2p0.pt
37,0.5,4.0,0.24586446104589113,0.4621131270010672,2.832701960393688,1.4810732891872573,20,20,87.59129283801303,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p50_t4p0.pt
37,0.75,1.0,0.2521344717182497,0.46064567769477055,2.8408096404060355,0.7708386044746529,20,20,90.10832225799095,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p75_t1p0.pt
37,0.75,2.0,0.24719850586979722,0.46278014941302026,2.8410332139299164,0.7713032550592942,20,20,90.06450707398471,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p75_t2p0.pt
37,0.75,4.0,0.25253468516542155,0.4599786552828175,2.8377552755105455,0.7655400484959369,20,20,87.67743207499734,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p75_t4p0.pt
47,0.25,1.0,0.2434631803628602,0.45610992529348987,2.837013821973363,2.1930012878511604,20,20,85.51867076999042,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p25_t1p0.pt
47,0.25,2.0,0.24706510138740662,0.45624332977588045,2.8358324116042226,2.1929324594353155,20,20,86.46746496498236,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p25_t2p0.pt
47,0.25,4.0,0.2418623265741729,0.4594450373532551,2.835788487624715,2.1938259001093714,20,20,87.61228669399861,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p25_t4p0.pt
47,0.5,1.0,0.24573105656350053,0.4631803628601921,2.831012111590537,1.484444720131865,20,20,88.0343982000195,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p50_t1p0.pt
47,0.5,2.0,0.24506403415154748,0.4631803628601921,2.8312714341610445,1.4836223841731297,20,20,93.0617728419893,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p50_t2p0.pt
47,0.5,4.0,0.24413020277481323,0.4578441835645678,2.832247015251803,1.4850913461778819,20,20,89.99328983397572,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p50_t4p0.pt
47,0.75,1.0,0.22732123799359658,0.4583778014941302,2.8381640145211233,0.7754232790579536,20,20,88.75938870597747,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p75_t1p0.pt
47,0.75,2.0,0.19983991462113126,0.46144610458911417,2.8339611738443122,0.7727075992042761,20,20,91.70646429498447,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p75_t2p0.pt
47,0.75,4.0,0.21504802561366063,0.4602454642475987,2.836276486436484,0.7724774820191375,20,20,88.50897889400949,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p75_t4p0.pt
