condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_pruned_25.pt,7475,0.2450836120401338,0.4480267558528428,2.8472878810474307,0.04688721522688866,0.21653455896666624,0.7909720540046692,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.33955882662363973,,0.0,4.233499987021787,1,0.24519743863393811,0.46011205976520814,2.836403685165698,0.3385548150011649,0.38958960498954787,"[0.49009121003715944, 0.42167752331200364, 0.35750168666709214, 0.33814463337572914, 0.3310699266148731, 0.3389649966266006, 0.33955882662363973]",7
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_pruned_50.pt,7475,0.23959866220735787,0.4450836120401338,2.838006840709061,0.06581497192382812,0.2565442884256598,0.697043776512146,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.3854802133476672,,0.0,3.8289906030113343,1,0.24266275346851654,0.4535752401280683,2.828672895309383,0.36169585495372303,0.4065631533255024,"[0.48422776996934164, 0.4180245066527277, 0.39510179999827716, 0.36093430331675336, 0.3624574065906927, 0.3854802133476672, 0.35568314662668854]",7
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_pruned_75.pt,7475,0.21244147157190635,0.4346488294314381,2.8646023719685534,0.09914413094520569,0.3148716102559989,0.49475914239883423,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.37416176666738465,,0.0,3.7517527769959997,1,0.21731590181430097,0.43810032017075773,2.8564343180193337,0.37092944665346295,0.42787370000345015,"[0.5335607699817047, 0.4034016633522697, 0.45234573665463057, 0.37416176666738465, 0.3641288199772437, 0.37377826995604363, 0.36808062335088226]",7
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_fp32.pt,7475,0.22247491638795985,0.43759197324414717,2.832712008562375,0.05043284222483635,0.22457257674265652,0.7747573852539062,12212225,12190208,12190207,8.203305468246214e-08,,46.58998394012451,,2.4124326066036397,0.575960669957567,309.6650390625,119.94019161199685,16,0.22705442902881537,0.45144076840981856,2.81782654916973,2.3261140533334883,2.4367221600065627,"[2.423155969978931, 2.4502883500341945, 2.276266610036449, 2.341450050007552, 2.5522273533473103, 2.310778056659425, 2.4124326066036397]",17
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_direct.pt,7475,0.23491638795986622,0.445752508361204,2.8619778741243294,0.048563212156295776,0.22037062453125592,0.7843629121780396,2970113,2949248,2949248,0.0,,11.334151268005371,,0.34311809674060595,0.16681373672327027,209.97412109375,77.68037715301034,20,0.24279615795090714,0.45277481323372465,2.846880910236273,0.3397129250030654,0.363823911708702,"[0.36930538995269063, 0.3393294333363883, 0.36284842004533857, 0.36479940337206546, 0.34311809674060595, 0.33366624993504956, 0.3400964166697425]",17
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_a0p50_t2p0.pt,7475,0.21016722408026756,0.44842809364548497,2.847529699012986,0.04918665066361427,0.22178063635857453,0.7844718098640442,2970113,2949248,2949248,0.0,,11.334399223327637,,0.3423830832859191,0.1710662167170085,253.8876953125,95.32477620700956,20,0.21398078975453574,0.4554429028815368,2.838415864437596,0.33757376828968216,0.3430992700062537,"[0.34320247000626597, 0.3370164699542026, 0.3429960700062414, 0.3346222099692871, 0.3471915199770592, 0.33813106662516174, 0.3423830832859191]",17
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_int8.pt,7475,0.21899665551839465,0.4385284280936455,2.8329860159704916,0.05070364847779274,0.2251747065675733,0.7736020088195801,12212225,12190208,12190207,8.203305468246214e-08,,11.716753959655762,,0.4843894167182346,,0.0,0.0,0,0.22211846318036285,0.45304162219850586,2.8181537304514883,0.47104917500594945,0.5762126182768649,"[0.46746958668033284, 0.49046541661179316, 0.47458149667363614, 0.4843894167182346, 0.4675168533382627, 0.6982020433254851, 0.6619598199419366]",17
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_control.pt,7475,0.2588628762541806,0.46983277591973244,2.828759649621204,0.04791194945573807,0.21888798380847238,0.7849138379096985,12212225,12190208,12190207,8.203305468246214e-08,,46.5896577835083,,2.2850963867191845,,0.0,7.2474806800019,1,0.26173959445037354,0.4818569903948773,2.814923438598405,2.152402850042563,2.3353696166789932,"[2.3315681800401458, 2.397287413283872, 2.339171053317841, 2.2850963867191845, 2.112303323325856, 2.1925023767592697, 2.054715876680954]",17
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_pruned_25.pt,7475,0.22260869565217392,0.47023411371237456,2.831192761488184,0.04849493131041527,0.22021564728786933,0.7826042175292969,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.370598836666128,,0.0,7.583191985992016,1,0.22972251867662755,0.4841248665955176,2.8159637077132054,2.234144801623188,2.411863416637061,"[2.583533790020738, 2.370598836666128, 2.396482376692196, 2.228442629954467, 2.4272444565819264, 2.1618558199649365, 2.239846973291909]",17
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_pruned_50.pt,7475,0.2505685618729097,0.4650167224080268,2.8265957292346253,0.04700842127203941,0.21681425523253633,0.7908169031143188,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.321990613321153,,0.0,8.005698672001017,1,0.2594717182497332,0.48452508004268946,2.812628902518762,2.308856605037969,2.334623726637801,"[2.434340720064938, 2.3193680900537097, 2.3431070166407153, 2.2983451200222285, 2.321990613321153, 2.1788961199733117, 2.326140436634887]",17
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/teacher_pruned_75.pt,7475,0.248561872909699,0.4701003344481605,2.800518038791159,0.055960074067115784,0.23655881735229356,0.7545333504676819,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.2815426433226094,,0.0,7.215165657020407,1,0.2546691568836713,0.4789220917822839,2.7886189783395547,2.198190469983577,2.3347168233885895,"[2.16265688999556, 2.4538933834022223, 2.3421425767204105, 2.1729333333011405, 2.2815426433226094, 2.2234476066660136, 2.3272910700567686]",17
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_int8.pt,7475,0.2105685618729097,0.4391973244147157,2.8485124576849286,0.0512942336499691,0.22648230317172488,0.7795060276985168,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.20840276672970504,,0.0,0.0,0,0.21504802561366063,0.4491728922091782,2.8385827322525303,0.20400249336186485,0.2629221183209059,"[0.2797574266636123, 0.2840239932993427, 0.2460868099781995, 0.20614437332066396, 0.20840276672970504, 0.19910847661473477, 0.20186061340306574]",17
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_control.pt,7475,0.21217391304347827,0.45498327759197327,2.8451279638284026,0.04792051762342453,0.21890755497109854,0.7871955037117004,2970113,2949248,2949248,0.0,,11.333992958068848,,0.4748788400320336,,0.0,4.249735544988653,1,0.21544823906083244,0.4597118463180363,2.836461164653619,0.4540246333635878,0.4941639699973166,"[0.44207996999224025, 0.48219708997445804, 0.5720181634145168, 0.5061308500201752, 0.4748788400320336, 0.4476034700443658, 0.46044579668280977]",17
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_pruned_25.pt,7475,0.2329096989966555,0.4500334448160535,2.8440354195406603,0.048169538378715515,0.2194755985951867,0.7855243682861328,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.4682912099330376,,0.0,4.060525173990754,1,0.23625933831376733,0.4583778014941302,2.83541756912891,0.41461281167964137,0.49432027498066117,"[0.48451943992404267, 0.43202499335166067, 0.5263837933307514, 0.5041211100372797, 0.4682912099330376, 0.3972006300076221, 0.3659190032825184]",17
